     1219 8411630 6101South Afr545442554424444124545443224244244442444144454424544444424454255442225225554234344245215444245442445244544423445244424154
    6721829502130 6101USA      544444154114355132541252424435251453555415555332453251524235353442355514555133551151341555151543453515555123552152524245
    6822115542130 6101USA      544544242444454542154414444324444455242144454541244242444244424544422234444422444424154344525444224242424412244244224224
    6912238592130 6101USA      445352453434335342354444413342245443555334445233433443424234154342345224443235443243313353245352445324445213344243423144
    7023636 62230 6101USA      444533553433444454445542344342444445443403444252343442445552255442444423444244543332445252344442444424524223452344425244
    7122317 72230 6101USA      525452425125555245154555242542542454425215554251452452415242255252555225554255444241225552555455125214555114555255515152
    7221942 92230 6101USA      445443454343555455343544324342254543255433445452444424445452445432445334444443444344425342444342423412455344543344445242
    7312329152230 6101New Zeala445144543524345344155545435301555350442313445452343525455452152342213525232552454535415321235142455515245114112545510011
    7412556172230 6101France   455142353445255425455554414324214252345510424224542453435542254242454514242335452453414342414152554425445145153454413242
    7521443262230 6101Canada   545454355424255423551455523554144555355544555542451445534554255553324534355541451155415554354454455524555555451233525044
    7623235302230 6101USA      425431453433345555545432445542425331255522445342535522354434425421355233344443335442244344415332145232334422545332425243
    7813817332230 6101USA      343342224225344333342513314424243342444214344244442421424234142342424224233234433432324423242342424224330223043443324234
    7921726342230 6101USA      543452315533155554551535324352443334235541355553433353515153353354345534354443552133515342245350325431555413504525523254
    8022547352230 6101USA      555352444534345442253322403452543453255544555041454243544453524442245524544431452443434443224252244524445212442344424142
    8112029382230 6101USA      254443345243355434352525344123555342235423354411433413434143155332245243535422354134525143435332335122455322312115320334
    8223435402230 6101India    454455354545555445255552435442245455555534445144353452515541454455354535135555451352515541225453245525155353354154515121
    8322514452230 6101USA      525252424115545241141412244435445455245224444442552223345145155242425114444522242214215555224444445222455212452424223124
    84130 3482230 6101USA      455554455044554255255551334344353454555113555333553531533453434342325245553353552251524353234453545322555313452155514125
    8523820482230 6101USA      524444344325455533541423332434332434334424444434344322334344242434425325454423344133324443332434545433444423234223244234
    8711546 32330 6101USA      445445554334555335341553444013345454553324555432341553034453335444354334443443332333425553334344453323555533341355524234
    8921820 62330 6101USA      245322553225323125134514311352355342554435442424313524424353155333452324232252325545325342345353553245434113234453323552
    9022059 72330 6101Canada   225543144344454453543433434343531443354233554343542353444153425431345234554144531342245343435443225212455333452333215144
    9114257342330 6101USA      151451455515155155551455514115151451445014445255551331513145151251555515555155551151515155151551555515555155551155515135
    9213156352330 6101Canada   414342145142424522544323442212423444145242434421444143342234224422315144545511434153143234424444145142345512544153242124
    9321513392330 6101Canada   155543541315244135133543214351155444541245345135133544515551155545552115221125125554215351455545541145342113124555214341
    9422121402330 6101Bahamas  341443324323255333340123324433343444344310344332434232435555244343335214553340344352315555253344424314555113351342444223
    9511529432330 6101Germany  445544312544532431143542342411445554334244452452442421045542344434523243542541324421315152444344424213444322133343242132
    9622317452330 6101USA      234243245252445434441525343344424343245333444432543333343244333243555243245421532345343334433243334232555423333135222233
    9711942472330 6101USA      225324355455545545135503341542540435151234444344344454452441425444352354532244214545251542425445455433555515244455221252
    98124 5482330 6101Ireland  525432154553454425435545113551445344153142454434525454424552245432255154452434515054213551225342354123454423245455323453
    99215 7482330 6101USA      545324420354334313234425324332343333341242443222423334344333355334335142433314224335142342544442423242444413324434351333
   100141 1522330 6101USA      115151155513145115251153511555125141155511445315551452515445135141155513552544551152415425115241155513255114551155515455
   10222929 0 031 6101USA      441523432132443315314314153553542511455141445412315135153454525413244121344111325115153544523214323121533311515133153122
   103118 6 3 031 6101USA      355422353424555434452455424344243453405324555425342453234344344443445324454245442254325353345442453424555214152454225355
   10412126 5 031 6101USA      144442335314335151551343515123151441515414355151431132415125151552415414335353532131515155151551515514445233553135524145
   10512828 9 031 6101Mexico   434442244244444234543453423325343342234233444432543422433443243441225234454344544342224343244243245324545233342243224235
   1061181413 031 6101UK       433431243423235433442332532345433332144433445432532232433345335401423333244402222232233244225341544522335412333233323123
   1072221814 031 6101USA      445433355534455255143535245342345253455333554144344553445453435343455234454242334353235554434342255224445423444433224252
   1092261916 031 6101USA      451251515415555133552235413342353451545225554332542434414143452245355415254122522122545344154251515244555543522242424224
   1101192418 031 6101Canada   225241131324134332141451513515234452241424334223551451514415145451151225114233541151414315145451354414124144451152514115
   1112165821 031 6101USA      532144255543145355441515513125325234345542555543435245233355241142315543554543555055413555111452515542155115550155513115
   1121173523 031 6101USA      053545535214354354152515313234155543215215554352532333435353151531254313133523535342325453234553414123535413235514224113
   113114 225 031 6101USA      225452525443334515143553433114145352115515335155555531535155142451515115245155505155515122224453545515554513551355525321
   1142232926 031 6101USA      443453434424444243243434424324244444445514444342444442434323243443445424444342444432424344333444334424445423254444424244
   1151205227 031 6101USA      353245545525544113523133214312142444154415412255155541555542152245545415225405155121424342541452544414445112151542515152
   116129 735 031 6101Canada   342344553344344325544442244432424144255244245332224452432552224143342244245142224452244433324244442234243222423442225242
   1171164638 031 6101USA      444341243234334334133445332333345342244234443332442453435243234432243134443432324243344354324441344214554323334154224334
   1192401346 031 6101Singapore254543544424345135142532535445254342543414543225541534435545152344515314432125532155214345151544535314455113352134425145
   1202181648 031 6101Canada   432445212344423431154452243331444435241124442242134312244442444455452144221442244432245342444444223224444413245533244432
   1212211649 031 6101Australia254541355410344234112444213152254524354322555444523353424553155231325213554214513343224553134442455424254314423254114223
   1222324249 031 6101Australia545244253143554134335553243532454454515144554134245555325454255344353144551224345553145551535344452152554423424552213454
   1231261351 031 6101USA      445444553334443455255544333534235254254415443244442554324232245233253215442344244452315542435442555413233324352455414134
   1242173852 031 6101USA      422323435351245533542425433153534424243351454423533225332353335431225252343423522425241544334434215351544423533124331234
   1252364453 031 6101USA      435242245242445424444442222552443442435444445424544244542252244432245142455424524252242552224242355222555412544145214454
   1261215253 031 6101USA      435255145454353235503455211323414254125413233332253215142522214255154254213535254355341331313454124254232230454440412334
   1272295753 031 6101USA      413442224441144432554433411154421242225332244541521323342154213221224441245441542124423144212252115531145531552115212155
   1291183557 031 6101USA      445235133242134513523413244344425235154222444312423543242343225245114152445411521243155344515124244121334411111241125334
   13022127 9 131 6101USA      535225334354544312423332453253435224344243433222424353234434525224344243533223434322233224445435233123444313433343233334
